id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
1165512,Business Modelling Masterclass- Business Meets Funding,True,1046,4.05556,9,False,40,0,455.0,2240,2017,4,2017,9,4,1785.0
1637958,Dropshipping Guide for Beginners,True,280,4.0,9,False,11,0,455.0,2240,2018,4,2018,4,4,1785.0
267398,Learn Business Analysis to Help Any Company Do Better,True,403,3.88889,9,False,9,0,455.0,2560,2014,7,2014,7,4,2105.0
1449664,"Salon Business Plan - Template, Example, Sample & Financials",True,120,3.88889,9,False,22,0,455.0,4160,2017,11,2017,12,4,3705.0
1363346,Ethics for the Insurance Professional,True,29,4.0,9,False,9,0,455.0,4800,2017,9,2018,1,4,4345.0
1655100,Lean Six Sigma Black Belt Practice Test,True,87,4.22222,9,False,0,5,455.0,1920,2018,4,2018,4,4,1465.0
1497138,Boost your sales on Amazon using messengers,True,1532,4.33333,9,False,10,0,700.0,1280,2018,1,2018,1,4,580.0
1449808,ACCA Financial Management (FM),True,78,4.55556,9,False,16,0,455.0,4800,2017,11,2019,2,5,4345.0
1401527,How to Become a Successful ESL Entrepreneur Abroad,True,1127,4.66667,9,False,22,0,455.0,8640,2017,10,2017,11,4,8185.0
728042,Verbal Aikido for Ultimate Networking Success #5,True,2109,4.83333,9,False,11,0,455.0,1280,2016,1,2016,2,5,825.0
1642478,Legal Liability for the South African Businessman - OHS ACT,True,17,4.61111,9,False,6,2,455.0,1920,2018,4,2018,4,5,1465.0
2276327,PMO-CP Simulation exam,True,75,4.16667,9,False,0,3,2400.0,8640,2019,3,2019,3,4,6240.0
2453828,Sales Training & Business Development Strategies,True,54,4.44444,10,False,20,0,455.0,6400,2019,7,2019,8,4,5945.0
2403970,100 Practical Tips for Success in Your Business Career,True,649,4.55556,9,False,72,0,455.0,1280,2019,6,2019,7,4,825.0
2089538,Prospecting Strategies for Fast Growth: Financial Advisers,True,1325,4.38889,9,False,25,0,455.0,3200,2018,12,2019,4,4,2745.0
2201926,Microsoft Dynamics 365 Customization and Configuration,True,47,2.5,9,False,0,4,455.0,2240,2019,2,2019,2,2,1785.0
2134732,A Quick Guide to Building Kickstarter Crowdfunding Campaigns,True,2669,4.33333,9,False,18,0,455.0,4800,2019,1,2019,1,4,4345.0
3149814,XGBoost for Business in Python and R,True,75,4.61111,9,False,70,0,455.0,3200,2020,5,2020,7,4,2745.0
1216546,Tableau 10.2.1 Development,True,50,4.44444,9,False,14,0,0.0,6400,2017,5,2017,5,4,6400.0
569164,Crisis and Credibility,True,54,3.38889,9,False,29,0,455.0,1600,2015,7,2015,9,3,1145.0
219754,3 STEPS TO RAISING CAPITAL FAST [FULL],True,386,4.61111,9,False,22,0,0.0,1280,2014,5,2014,5,5,1280.0
276258,Obamacare - What Everyone Should Know About Health Insurance,True,1330,4.33333,9,False,55,0,455.0,1920,2014,8,2014,8,4,1465.0
671548,Accounting Basics 101 for Understanding Business,True,43,4.0,9,False,18,0,455.0,1280,2015,11,2016,1,4,825.0
944594,Trading Strategy Layout and Backtesting Process,True,146,4.05556,9,False,24,0,455.0,8640,2016,8,2016,9,4,8185.0
597678,Successfully Marketing a Local Business in 15 Easy Steps,True,1729,3.83333,9,False,16,0,455.0,1280,2015,8,2015,9,4,825.0
